Car_ID,Car_Name,Year,Engine_HP,Buying_Price_Lakh,Maintenance_Cost,Safety_Rating,Mileage,Class,Modern_Technologies
30,Mahindra Xylo,2018,Moderate,7.5,Medium,Low,Medium,Poor,Bluetooth|Dual AC
31,Maruti_Suzuki Swift,2022,Weak,8.0,Low,Low,High,Poor,Touchscreen|Camera|Keyless Entry
32,Maruti_Suzuki Baleno,2023,Weak,9.5,Low,Low,High,Poor,Touchscreen|Camera|HUD|360 Camera
33,Maruti_Suzuki Brezza,2022,Moderate,12.0,Low,High,Medium,Recommended,Touchscreen|Camera|HUD|SmartPlay Pro
34,Maruti_Suzuki Ertiga,2021,Moderate,11.0,Low,Medium,Medium,Good,Touchscreen|Camera|Smart Hybrid
35,Maruti_Suzuki Grand_Vitara,2023,Moderate,18.0,Low,High,Medium,Recommended,Touchscreen|Camera|Panoramic Sunroof|Strong Hybrid
36,Maruti_Suzuki Fronx,2023,Weak,10.5,Low,Low,High,Poor,Touchscreen|Camera|HUD|Wireless Charging
37,Maruti_Suzuki Jimny,2023,Moderate,15.0,Low,Low,Medium,Poor,Touchscreen|Camera|4WD|SmartPlay Pro
38,Maruti_Suzuki Alto_K10,2022,Weak,5.0,Low,Low,High,Poor,Touchscreen|Bluetooth
39,Maruti_Suzuki Dzire,2021,Weak,8.5,Low,Low,High,Poor,Touchscreen|Camera|Keyless Entry
40,Maruti_Suzuki Ciaz,2022,Moderate,11.5,Low,High,Medium,Recommended,Touchscreen|Camera|Smart Hybrid
41,Maruti_Suzuki XL6,2023,Moderate,13.5,Low,Medium,Medium,Good,Touchscreen|Camera|Ventilated Seats
42,Maruti_Suzuki Ignis,2021,Weak,7.0,Low,Medium,High,Good,Touchscreen|Camera|Push Button Start
43,Maruti_Suzuki S-Cross,2020,Moderate,10.5,Low,High,Medium,Recommended,Touchscreen|Camera|Smart Hybrid
44,Maruti_Suzuki Celerio,2022,Weak,6.0,Low,Low,High,Poor,Touchscreen|Bluetooth
45,Maruti_Suzuki WagonR,2023,Weak,7.5,Low,Low,High,Poor,Touchscreen|Bluetooth
46,Hyundai Creta,2023,Moderate,18.0,Medium,Medium,Medium,Good,Touchscreen|Camera|Panoramic Sunroof|BlueLink
47,Hyundai Venue,2022,Moderate,13.0,Low,High,Medium,Recommended,Touchscreen|Camera|ADAS|BlueLink
48,Hyundai i20,2021,Moderate,10.5,Low,Medium,Medium,Good,Touchscreen|Camera|Bose Audio|BlueLink
49,Hyundai Verna,2023,Moderate,16.5,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Heated Seats
50,Hyundai Tucson,2022,Moderate,31.0,Medium,Low,Medium,Poor,Touchscreen|Camera|ADAS|AWD
51,Hyundai Exter,2023,Weak,8.5,Low,Low,High,Poor,Touchscreen|Camera|Dashcam|Voice Sunroof
52,Hyundai Alcazar,2022,Moderate,21.0,Medium,Medium,Medium,Good,Touchscreen|Camera|Digital Cluster|BlueLink
53,Hyundai Aura,2021,Weak,8.5,Low,Low,High,Poor,Touchscreen|Camera|Bluetooth
54,Hyundai Grand_i10_Nios,2022,Weak,8.0,Low,Low,High,Poor,Touchscreen|Camera|Wireless Charging
55,Hyundai Santro,2020,Weak,5.5,Low,Low,High,Poor,Touchscreen|Bluetooth|Rear AC
56,Hyundai Eon,2018,Weak,3.5,Low,Low,High,Poor,Air Conditioning|Power Windows
57,Hyundai Elantra,2021,Moderate,19.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Ventilated Seats
58,Hyundai Sonata,2014,Moderate,8.0,Medium,High,Medium,Recommended,Bluetooth|Ventilated Seats
59,Hyundai Santa_Fe,2016,Moderate,15.0,Medium,High,Medium,Recommended,Touchscreen|Camera|AWD
60,Hyundai Ioniq_5,2023,Moderate,46.0,Low,High,High,Recommended,Touchscreen|Camera|ADAS|V2L
61,Honda City,2023,Moderate,16.0,Low,High,Medium,Recommended,Touchscreen|Camera|ADAS|LaneWatch
62,Honda Amaze,2022,Weak,9.5,Low,High,High,Recommended,Touchscreen|Camera|Bluetooth
63,Honda Elevate,2023,Moderate,17.0,Low,Low,Medium,Poor,Touchscreen|Camera|ADAS|LaneWatch
64,Honda Jazz,2020,Weak,8.5,Low,High,High,Recommended,Touchscreen|Camera|Magic Seats
65,Honda WR-V,2021,Weak,10.5,Low,High,High,Recommended,Touchscreen|Camera|Sunroof
66,Honda Brio,2018,Weak,5.0,Low,Medium,High,Good,Bluetooth|Steering Controls
67,Honda BR-V,2019,Moderate,9.5,Low,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
68,Honda CR-V,2020,Moderate,28.0,Medium,High,Medium,Recommended,Touchscreen|Camera|AWD|LaneWatch
69,Honda Civic,2020,Moderate,21.0,Medium,High,Medium,Recommended,Touchscreen|Camera|LaneWatch|Digital Display
70,Honda Accord,2019,Moderate,38.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Hybrid System|LaneWatch
71,Honda Mobilio,2016,Moderate,6.0,Low,Medium,Medium,Good,Bluetooth|Rear AC
72,Honda City_eHEV,2023,Moderate,20.0,Low,High,Medium,Recommended,Touchscreen|Camera|ADAS|Strong Hybrid
73,Toyota Innova_Crysta,2021,Moderate,22.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Connected Tech
74,Toyota Innova_Hycross,2023,Moderate,30.0,Medium,Low,Medium,Poor,Touchscreen|Camera|ADAS|Strong Hybrid
75,Toyota Fortuner,2022,Moderate,42.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Connected Tech|4WD
76,Toyota Urban_Cruiser_Hyryder,2023,Moderate,19.0,Low,High,Medium,Recommended,Touchscreen|Camera|HUD|Strong Hybrid
77,Toyota Glanza,2022,Weak,9.5,Low,Low,High,Poor,Touchscreen|Camera|HUD|360 Camera
78,Toyota Camry,2023,Moderate,46.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Hybrid System
79,Toyota Vellfire,2022,Moderate,115.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|Executive Lounge
80,Toyota Hilux,2023,Moderate,36.0,Medium,High,Medium,Recommended,Touchscreen|Camera|4WD|A-TRAC
81,Toyota Yaris,2020,Moderate,10.0,Low,High,Medium,Recommended,Touchscreen|Camera|7 Airbags
82,Toyota Corolla_Altis,2019,Moderate,16.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
83,Toyota Etios,2018,Weak,6.5,Low,High,High,Recommended,Bluetooth|Steering Controls
84,Toyota Land_Cruiser_LC300,2023,Strong,210.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Multi-Terrain Monitor
85,Kia Seltos,2023,Moderate,19.0,Medium,Medium,Medium,Good,Touchscreen|Camera|ADAS|HUD|Bose Audio
86,Kia Sonet,2022,Moderate,14.0,Low,Medium,Medium,Good,Touchscreen|Camera|Ventilated Seats|UVO Connect
87,Kia Carens,2023,Moderate,18.0,Low,Medium,Medium,Good,Touchscreen|Camera|Digital Cluster|Air Purifier
88,Kia EV6,2023,Strong,65.0,Medium,High,High,Recommended,Touchscreen|Camera|ADAS|AR HUD|V2L
89,Kia Carnival,2022,Moderate,35.0,Medium,High,Medium,Recommended,Touchscreen|Camera|VIP Seats|Dual Sunroof
90,Kia EV9,2024,Strong,130.0,Medium,High,High,Recommended,Touchscreen|Camera|ADAS|Swivel Seats
91,Kia Rio,2019,Moderate,8.0,Low,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
92,Kia Sportage,2022,Moderate,28.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Curved Display
93,Kia Stinger,2021,Strong,55.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Launch Control
94,Kia Telluride,2023,Strong,65.0,High,High,Low,Good,Touchscreen|Camera|ADAS|HUD
95,MG Hector,2023,Moderate,21.0,Medium,Low,Medium,Poor,Touchscreen|Camera|ADAS|14-inch Display
96,MG Hector_Plus,2022,Moderate,23.0,Medium,Low,Medium,Poor,Touchscreen|Camera|Panoramic Sunroof
97,MG Astor,2022,Moderate,17.0,Medium,Low,Medium,Poor,Touchscreen|Camera|ADAS|AI Assistant
98,MG ZS_EV,2022,Moderate,26.0,Low,High,High,Recommended,Touchscreen|Camera|Panoramic Sunroof|EV Tech
99,MG Comet_EV,2023,Weak,9.0,Low,Low,High,Poor,Touchscreen|Camera|Digital Cluster|EV Tech
100,MG Gloster,2023,Moderate,42.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Massaging Seats
101,MG RC6,2021,Moderate,18.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Connected Tech
102,MG Marvel_R,2022,Strong,40.0,Medium,High,High,Recommended,Touchscreen|Camera|ADAS|EV Tech
103,BYD Atto_3,2023,Moderate,34.0,Low,High,Medium,Recommended,Touchscreen|Camera|ADAS|Blade Battery
104,BYD Seal,2024,Strong,55.0,Medium,High,Low,Good,Touchscreen|Camera|ADAS|Rotating Display
105,BYD e6,2022,Weak,29.0,Low,High,High,Recommended,Touchscreen|Camera|Blade Battery
106,BYD Dolphin,2023,Moderate,25.0,Low,High,High,Recommended,Touchscreen|Camera|ADAS|EV Tech
107,BYD Seagull,2023,Weak,12.0,Low,Low,High,Poor,Touchscreen|Camera|Blade Battery
108,BYD Han,2022,Strong,65.0,Medium,High,Low,Good,Touchscreen|Camera|ADAS|Premium Audio
109,BYD Tang,2022,Strong,70.0,Medium,High,Low,Good,Touchscreen|Camera|ADAS|AWD
110,Volkswagen Taigun,2022,Moderate,18.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Digital Cluster|Connected Tech
111,Volkswagen Virtus,2023,Moderate,19.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Digital Cluster|Ventilated Seats
112,Volkswagen Polo,2021,Moderate,10.0,Low,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
113,Volkswagen Vento,2020,Moderate,11.0,Low,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
114,Volkswagen Ameo,2019,Moderate,8.0,Low,Medium,Medium,Good,Touchscreen|Bluetooth
115,Volkswagen Tiguan,2022,Moderate,35.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Matrix LED|AWD
116,Volkswagen T-Roc,2021,Moderate,22.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Panoramic Sunroof
117,Volkswagen Passat,2020,Moderate,32.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Park Assist
118,Volkswagen Jetta,2017,Moderate,14.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
119,Volkswagen Touareg,2016,Moderate,25.0,High,High,Medium,Good,Touchscreen|Camera|AWD|Air Suspension
120,Skoda Kushaq,2022,Moderate,18.5,Medium,High,Medium,Recommended,Touchscreen|Camera|Ventilated Seats|Connected Tech
121,Skoda Slavia,2023,Moderate,19.5,Medium,High,Medium,Recommended,Touchscreen|Camera|Digital Cluster|Ventilated Seats
122,Skoda Octavia,2022,Moderate,30.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Canton Audio|Virtual Cockpit
123,Skoda Superb,2023,Moderate,36.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Matrix LED|Virtual Cockpit
124,Skoda Kodiaq,2022,Moderate,40.0,Medium,High,Medium,Recommended,Touchscreen|Camera|AWD|DCC
125,Skoda Rapid,2021,Moderate,12.0,Low,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
126,Skoda Fabia,2015,Weak,4.0,Low,High,High,Recommended,Bluetooth|Projector Headlamps
127,Skoda Yeti,2016,Moderate,9.0,Medium,High,Medium,Recommended,Touchscreen|Camera|AWD
128,Skoda Laura,2013,Moderate,5.0,Medium,High,Medium,Recommended,Touchscreen|Bluetooth
129,Skoda Karoq,2020,Moderate,25.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Panoramic Sunroof
130,BMW 3_Series,2023,Strong,65.0,High,High,Low,Good,Touchscreen|Camera|ADAS|iDrive 8
131,BMW 5_Series,2022,Moderate,72.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|HUD
132,BMW 7_Series,2023,Strong,175.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Theater Screen
133,BMW X1,2023,Moderate,50.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|Curved Display
134,BMW X3,2022,Moderate,68.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|Panoramic Sunroof
135,BMW X5,2023,Strong,95.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Gesture Control
136,BMW X7,2023,Strong,130.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Air Suspension
137,BMW Z4,2022,Strong,90.0,High,High,Low,Good,Touchscreen|Camera|ADAS|M Sport Differential
138,BMW i4,2023,Strong,75.0,Medium,High,High,Recommended,Touchscreen|Camera|ADAS|EV Routing
139,BMW iX,2023,Strong,120.0,High,High,High,Good,Touchscreen|Camera|ADAS|Shy Tech
140,Mercedes-Benz C-Class,2023,Moderate,60.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|MBUX
141,Mercedes-Benz E-Class,2023,Strong,75.0,High,High,Low,Good,Touchscreen|Camera|ADAS|MBUX|LWB
142,Mercedes-Benz S-Class,2022,Strong,170.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Massaging Seats
143,Mercedes-Benz GLA,2022,Moderate,48.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|MBUX
144,Mercedes-Benz GLC,2023,Strong,73.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Off-Road Screen
145,Mercedes-Benz GLE,2022,Strong,95.0,High,High,Low,Good,Touchscreen|Camera|ADAS|AR Navigation
146,Mercedes-Benz GLS,2023,Strong,135.0,High,High,Low,Good,Touchscreen|Camera|ADAS|MBUX
147,Mercedes-Benz G-Class,2022,Strong,250.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Locking Differentials
148,Mercedes-Benz EQE,2023,Strong,140.0,High,High,High,Good,Touchscreen|Camera|ADAS|Hyperscreen
149,Mercedes-Benz EQS,2022,Strong,160.0,High,High,High,Good,Touchscreen|Camera|ADAS|Hyperscreen|Rear Wheel Steering
150,Audi A4,2023,Moderate,48.0,High,High,Medium,Good,Touchscreen|Camera|Virtual Cockpit
151,Audi A6,2022,Moderate,65.0,High,High,Medium,Good,Touchscreen|Camera|Virtual Cockpit|Matrix LED
152,Audi A8_L,2023,Strong,135.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Rear Seat Entertainment
153,Audi Q3,2023,Moderate,45.0,High,High,Medium,Good,Touchscreen|Camera|Virtual Cockpit|Quattro
154,Audi Q5,2022,Moderate,63.0,High,High,Medium,Good,Touchscreen|Camera|Virtual Cockpit|Quattro
155,Audi Q7,2023,Strong,88.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Quattro
156,Audi Q8,2022,Strong,110.0,High,High,Low,Good,Touchscreen|Camera|ADAS|HD Matrix LED
157,Audi e-tron,2022,Strong,120.0,High,High,High,Good,Touchscreen|Camera|ADAS|EV Route Planner
158,Audi RS5,2021,Strong,115.0,High,High,Low,Good,Touchscreen|Camera|Virtual Cockpit|Sport Exhaust
159,Audi R8,2020,Strong,280.0,High,Low,Low,Poor,Touchscreen|Camera|Virtual Cockpit|Laser Lights
160,Volvo XC40,2022,Moderate,46.0,High,High,Medium,Good,Touchscreen|Camera|Pilot Assist|Harman Kardon
161,Volvo XC60,2023,Strong,68.0,High,High,Low,Good,Touchscreen|Camera|Pilot Assist|Bowers & Wilkins
162,Volvo XC90,2023,Strong,98.0,High,High,Low,Good,Touchscreen|Camera|Pilot Assist|Air Suspension
163,Volvo S60,2022,Moderate,45.0,High,High,Medium,Good,Touchscreen|Camera|Pilot Assist|Harman Kardon
164,Volvo S90,2023,Strong,68.0,High,High,Low,Good,Touchscreen|Camera|Pilot Assist|Bowers & Wilkins
165,Volvo C40_Recharge,2023,Strong,62.0,Medium,High,High,Recommended,Touchscreen|Camera|Pilot Assist|EV Tech
166,Volvo V90_Cross_Country,2021,Strong,70.0,High,High,Low,Good,Touchscreen|Camera|Pilot Assist|AWD
167,Volvo EX30,2024,Strong,40.0,Medium,High,High,Recommended,Touchscreen|Camera|Pilot Assist|Soundbar
168,Jaguar XE,2021,Moderate,48.0,High,High,Medium,Good,Touchscreen|Camera|Meridian Audio
169,Jaguar XF,2022,Moderate,72.0,High,High,Medium,Good,Touchscreen|Camera|Pivi Pro|Meridian Audio
170,Jaguar XJ,2019,Strong,105.0,High,High,Low,Good,Touchscreen|Camera|Rear Seat Entertainment
171,Jaguar F-Pace,2023,Moderate,78.0,High,High,Medium,Good,Touchscreen|Camera|Pivi Pro|Meridian Audio
172,Jaguar E-Pace,2021,Moderate,55.0,High,High,Medium,Good,Touchscreen|Camera|Pivi Pro
173,Jaguar I-Pace,2022,Strong,120.0,Medium,High,High,Recommended,Touchscreen|Camera|Pivi Pro|EV Tech
174,Land_Rover Range_Rover,2023,Strong,240.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Terrain Response 2
175,Land_Rover Range_Rover_Sport,2023,Strong,170.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Dynamic Air Suspension
176,Land_Rover Range_Rover_Velar,2022,Moderate,90.0,High,High,Medium,Good,Touchscreen|Camera|ADAS|Pivi Pro
177,Land_Rover Range_Rover_Evoque,2023,Moderate,75.0,High,High,Medium,Good,Touchscreen|Camera|ClearSight Ground View
178,Land_Rover Defender,2023,Strong,95.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Terrain Response 2
179,Land_Rover Discovery,2022,Strong,95.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Terrain Response 2
180,Land_Rover Discovery_Sport,2023,Moderate,72.0,High,High,Medium,Good,Touchscreen|Camera|ClearSight Ground View
181,Land_Rover Freelander_2,2014,Moderate,15.0,High,High,Medium,Good,Touchscreen|Bluetooth|Terrain Response
182,Fiat Punto_Evo,2017,Weak,4.0,Low,High,High,Recommended,Bluetooth|Blue&Me
183,Fiat Linea,2018,Moderate,5.5,Low,High,Medium,Recommended,Touchscreen|Bluetooth|Cruise Control
184,Fiat Avventura,2016,Weak,4.5,Low,High,High,Recommended,Bluetooth|Inclinometer
185,Fiat Urban_Cross,2017,Moderate,5.0,Low,High,Medium,Recommended,Touchscreen|Bluetooth
186,Fiat Palio,2010,Weak,1.2,Low,Low,High,Poor,Air Conditioning|Power Steering
187,Fiat Uno,2002,Weak,0.5,Low,Low,High,Poor,Air Conditioning
188,Ford EcoSport,2021,Moderate,9.5,Low,High,Medium,Recommended,Touchscreen|Camera|SYNC 3
189,Ford Endeavour,2021,Moderate,36.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Terrain Management|Panoramic Sunroof
190,Ford Figo,2020,Weak,6.5,Low,High,High,Recommended,Touchscreen|Camera|Bluetooth
191,Ford Aspire,2021,Weak,7.5,Low,High,High,Recommended,Touchscreen|Camera|Bluetooth
192,Ford Freestyle,2020,Weak,7.0,Low,High,High,Recommended,Touchscreen|Camera|ARP
193,Ford Mustang,2019,Strong,75.0,High,High,Low,Good,Touchscreen|Camera|Track Apps|Line Lock
194,Ford Fiesta,2015,Moderate,4.5,Low,High,Medium,Recommended,Bluetooth|Voice Control
195,Ford Ikon,2010,Weak,1.5,Low,Low,High,Poor,Power Steering|Power Windows
196,Ford Escort,2001,Weak,0.6,Low,Low,High,Poor,Power Steering|Air Conditioning
197,Ford Mondeo,2005,Moderate,2.0,Low,High,Medium,Recommended,Air Conditioning|Power Windows
198,Chevrolet Cruze,2017,Moderate,7.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Bluetooth
199,Chevrolet Beat,2016,Weak,2.5,Low,High,High,Recommended,Bluetooth|Digital Tachometer
200,Chevrolet Spark,2015,Weak,1.8,Low,Low,High,Poor,Air Conditioning|Power Steering
201,Chevrolet Sail,2016,Weak,3.0,Low,High,High,Recommended,Bluetooth|Power Windows
202,Chevrolet Tavera,2015,Weak,4.5,Low,Low,High,Poor,Air Conditioning|Power Steering
203,Chevrolet Enjoy,2016,Weak,3.5,Low,Low,High,Poor,Air Conditioning|Rear AC
204,Chevrolet Captiva,2015,Moderate,6.5,Medium,High,Medium,Recommended,Touchscreen|Camera|AWD
205,Chevrolet Trailblazer,2016,Moderate,12.0,Medium,High,Medium,Recommended,Touchscreen|Camera|MyLink
206,Chevrolet Optra,2012,Moderate,2.0,Low,Low,Medium,Poor,Air Conditioning|Power Windows
207,Chevrolet Aveo,2011,Weak,1.5,Low,Low,High,Poor,Air Conditioning|Power Steering
208,Renault Kwid,2023,Weak,6.0,Low,Low,High,Poor,Touchscreen|Camera|Digital Cluster
209,Renault Kiger,2023,Weak,10.5,Low,High,High,Recommended,Touchscreen|Camera|Wireless Charging|Digital Cluster
210,Renault Triber,2022,Weak,8.5,Low,High,High,Recommended,Touchscreen|Camera|Modular Seating
211,Renault Duster,2021,Moderate,12.0,Low,Medium,Medium,Good,Touchscreen|Camera|AWD Option
212,Renault Captur,2019,Moderate,9.5,Low,Medium,Medium,Good,Touchscreen|Camera|LED Headlamps
213,Renault Scala,2015,Weak,4.0,Low,High,High,Recommended,Bluetooth|Push Button Start
214,Renault Pulse,2016,Weak,3.5,Low,High,High,Recommended,Bluetooth|Push Button Start
215,Renault Fluence,2015,Moderate,5.5,Medium,High,Medium,Recommended,Touchscreen|Bluetooth|Cruise Control
216,Nissan Magnite,2023,Weak,11.0,Low,High,High,Recommended,Touchscreen|Camera|360 Camera|Wireless CarPlay
217,Nissan Kicks,2022,Moderate,14.0,Low,Low,Medium,Poor,Touchscreen|Camera|360 Camera
218,Nissan Micra,2019,Weak,5.5,Low,Medium,High,Good,Touchscreen|Bluetooth
219,Nissan Sunny,2019,Weak,7.5,Low,High,High,Recommended,Touchscreen|Bluetooth
220,Nissan Terrano,2018,Moderate,8.0,Low,High,Medium,Recommended,Touchscreen|Bluetooth
221,Nissan X-Trail,2024,Moderate,33.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Panoramic Sunroof
222,Nissan Teana,2014,Moderate,7.0,Medium,High,Medium,Recommended,Bluetooth|V6 Engine
223,Nissan Evalia,2015,Weak,4.5,Low,Low,High,Poor,Air Conditioning|Rear AC
224,Jeep Compass,2023,Moderate,26.0,Medium,High,Medium,Recommended,Touchscreen|Camera|ADAS|Uconnect
225,Jeep Meridian,2023,Moderate,35.0,Medium,Low,Medium,Poor,Touchscreen|Camera|ADAS|Uconnect|AWD
226,Jeep Wrangler,2023,Strong,62.0,High,High,Low,Good,Touchscreen|Camera|Off-Road Pages|4WD
227,Jeep Grand_Cherokee,2023,Strong,80.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Passenger Screen
228,Jeep Renegade,2020,Moderate,20.0,Medium,High,Medium,Recommended,Touchscreen|Camera|Uconnect
229,Jeep Patriot,2016,Moderate,15.0,Medium,High,Medium,Recommended,Bluetooth|4WD
230,Jeep Cherokee,2021,Strong,45.0,Medium,High,Low,Good,Touchscreen|Camera|ADAS
231,Jeep Wagoneer,2022,Strong,90.0,High,Low,Low,Poor,Touchscreen|Camera|ADAS|Rear Entertainment
232,Mini Cooper_3_Door,2023,Moderate,42.0,High,High,Medium,Good,Touchscreen|Camera|HUD
233,Mini Cooper_5_Door,2022,Moderate,44.0,High,High,Medium,Good,Touchscreen|Camera|HUD
234,Mini Countryman,2023,Moderate,48.0,High,High,Medium,Good,Touchscreen|Camera|HUD|Picnic Bench
235,Mini Clubman,2021,Moderate,45.0,High,High,Medium,Good,Touchscreen|Camera|Split Rear Doors
236,Mini Convertible,2023,Moderate,48.0,High,High,Medium,Good,Touchscreen|Camera|HUD
237,Mini Paceman,2015,Moderate,25.0,Medium,High,Medium,Recommended,Bluetooth|Sport Suspension
238,Mini Roadster,2014,Moderate,22.0,Medium,High,Medium,Recommended,Bluetooth|Active Rear Spoiler
239,Lexus ES,2023,Moderate,64.0,High,High,Medium,Good,Touchscreen|Camera|Lexus Safety System+
240,Lexus NX,2023,Moderate,68.0,High,High,Medium,Good,Touchscreen|Camera|Lexus Safety System+|E-Latch
241,Lexus RX,2023,Moderate,95.0,High,High,Medium,Good,Touchscreen|Camera|Lexus Safety System+|Mark Levinson Audio
242,Lexus LX,2022,Strong,280.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Multi-Terrain Monitor
243,Lexus LS,2023,Strong,195.0,High,High,Low,Good,Touchscreen|Camera|ADAS|Massaging Seats
244,Lexus LC,2022,Strong,230.0,High,Low,Low,Poor,Touchscreen|Camera|Lexus Safety System+|Carbon Fiber Roof
